"AllocatedMethodId","AllocatedResourceId","AllocatedResourceName","AllocatedTags","BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractApplied","ContractedCost","ContractedUnitPrice","EffectiveCost","HostProviderName","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","ServiceProviderName","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags","AllocatedMethodDetails","AvailabilityZone","ChargeFrequency","InvoiceId","ServiceSubcategory","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice"
"AllocatedMethodId-8022","AllocatedResourceId-3223","AllocatedResourceName-8564","{}",49.270625,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"Azure Load Balancer Load Balancer in Southeast Asia","2024-09-21T17:00:00Z","2024-09-21T16:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49.270625,1.2715,0,"Microsoft","Microsoft",55.362125000000006,1.4287,"Dynamic","USD",38.75,"Hours","Microsoft","Microsoft","southeastasia","Southeast Asia","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-443/providers/Microsoft.Compute/virtualMachines/vm-9495",NULL,"Load Balancer","Networking","Azure Load Balancer","Microsoft","JNE00V830DN0YBY4","Azure Load Balancer Hours",NULL,"AWTY088O5OR15BYV.ZK3I8BZB","sub-4d3e","Sandbox","BillingProfile",NULL,NULL,NULL,"One-Time","INV-202409-21003","Application Networking",1.2715,0,1.4287
"AllocatedMethodId-9031","AllocatedResourceId-2729","AllocatedResourceName-8102","{}",469.7269482,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Virtual Machines Virtual Machine in Southeast Asia","2024-09-15T00:00:00Z","2024-09-14T23:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,380.6200000000,"Hours",NULL,505.08274,1.3270,469.7269482,"Microsoft","Microsoft",721.541334,1.8957,"Standard","USD",380.62,"Hours","Microsoft","Microsoft","southeastasia","Southeast Asia","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-307/providers/Microsoft.Compute/virtualMachines/vm-2226",NULL,"Virtual Machine","Compute","Virtual Machines","Microsoft","OECBPMBJPI4HN3QX","Virtual Machines Hours",NULL,"KHKTGBTYZMEPGTHC.W81XE6VA","sub-2b7c","Staging","BillingProfile",NULL,NULL,"uksouth-1","Usage-Based","INV-202409-65057","Virtual Machines",1.3270,469.7269482,1.8957
"AllocatedMethodId-6419","AllocatedResourceId-6764","AllocatedResourceName-8434","{}",336.285304,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Load Balancing Forwarding Rule in Northern Virginia","2024-09-19T14:00:00Z","2024-09-19T13:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,135.0500000000,"Hours",NULL,425.67760000000004,3.1520,336.285304,"Google","Google",545.7370500000001,4.0410,"Other","USD",135.05,"Hours","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/helios-labs/zones/us-east4-a/instances/inst-3683",NULL,"Forwarding Rule","Networking","Cloud Load Balancing","Google","3YVB5UL5NWQVRR9A","Cloud Load Balancing Hours",NULL,"7MFP059P452BFSOZ.PTX497W1","proj-helios-prod","helios-prod","BillingAccount","{""business_unit"": ""ViennaAI"", ""environment"": ""staging""}",NULL,NULL,"Usage-Based","INV-202409-82140","Application Networking",3.1520,336.285304,4.0410
"AllocatedMethodId-7232","AllocatedResourceId-8381","AllocatedResourceName-8253","{}",864.62911744,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Credit",NULL,"Cloud SQL Database Instance in Singapore","2024-09-06T04:00:00Z","2024-09-06T03:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1271.513408,3.4232,864.62911744,"Google","Google",1765.9743360000002,4.7544,"Standard","USD",371.44,"Hours","Google","Google","asia-southeast1","Singapore",NULL,NULL,NULL,"Databases","Cloud SQL","Google","OXLTA8IRCD9SI5GA","Cloud SQL Hours",NULL,"S442VLDQ4HEZ5EDJ.JTFPH90O","proj-helios-prod","helios-prod","BillingAccount","{""cost_center"": ""CC-1001"", ""owner"": ""g.hopper"", ""business_unit"": ""OsloData""}",NULL,NULL,"One-Time","INV-202409-78494","Relational Databases",3.4232,864.62911744,4.7544
"AllocatedMethodId-1339","AllocatedResourceId-5415","AllocatedResourceName-1659","{}",100.78924919,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Functions Function in Northern Virginia","2024-09-25T07:00:00Z","2024-09-25T06:00:00Z","Spend","cd-351516","commit-1516",NULL,"Used","Committed Use Discount",NULL,49.6300000000,"Invocations",NULL,141.956689,2.8603,100.78924919,"Google","Google",189.273931,3.8137,"Other","USD",49.63,"Invocations","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/helios-labs/zones/us-east4-a/instances/inst-5997",NULL,"Function","Compute","Cloud Functions","Google","SCOSS3EOQM1H8OJR","Cloud Functions Invocations",NULL,"JEDKTS2H3TZR6852.FC1UQBFO","proj-helios-dev","helios-dev","BillingAccount",NULL,NULL,"asia-southeast1-c","Usage-Based","INV-202409-98381","Serverless Compute",2.8603,100.78924919,3.8137
"AllocatedMethodId-4993","AllocatedResourceId-8483","AllocatedResourceName-3369","{}",698.25279129,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Azure Kubernetes Service Cluster in UK South","2024-09-08T18:00:00Z","2024-09-08T17:00:00Z","Usage","cd-268637","commit-8637",NULL,"Unused","Savings Plan",NULL,NULL,NULL,NULL,956.5106729999999,1.9741,698.25279129,"Microsoft","Microsoft",1138.693953,2.3501,"Dynamic","USD",484.53,"Hours","Microsoft","Microsoft","uksouth","UK South","/subscriptions/8a93b2c1-1234-4abc-9def-0123456789ab/resourceGroups/rg-578/providers/Microsoft.Compute/virtualMachines/vm-5005",NULL,"Cluster","Compute","Azure Kubernetes Service","Microsoft","6A830DM7X52DNR9I","Azure Kubernetes Service Hours",NULL,"S25HBPKT9A90FOH3.HJ5S6R04","sub-2b7c","Staging","BillingProfile","{""cost_center"": ""CC-2042"", ""application"": ""BrightLensMatrix""}",NULL,"westeurope-2","Usage-Based","INV-202409-71894","Containers",1.9741,698.25279129,2.3501
"AllocatedMethodId-8110","AllocatedResourceId-2612","AllocatedResourceName-2646","{}",357.4246056,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Object Storage Bucket in Australia East (Sydney)","2024-09-04T00:00:00Z","2024-09-03T23:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,169.9400000000,"GB",NULL,595.707676,3.5054,357.4246056,"Oracle","Oracle",669.325684,3.9386,"Dynamic","USD",169.94,"GB","Oracle","Oracle","ap-sydney-1","Australia East (Sydney)","ocid1.instance.oc1.ap-sydney-1.0054fb0629de",NULL,"Bucket","Storage","Oracle Object Storage","Oracle","YO0CU4YYJ5CI6VG2","Oracle Object Storage GB",NULL,"G73AJ0JE4QVZFV8Y.U58CEPSO","ocid1.compartment.oc1..prod","production","Tenancy","{""owner"": ""a.turing"", ""team"": ""infra"", ""environment"": ""staging""}",NULL,"uk-london-1-AD-2","Usage-Based","INV-202409-21846","Object Storage",3.5054,357.4246056,3.9386
"AllocatedMethodId-4115","AllocatedResourceId-5106","AllocatedResourceName-3240","{}",209.33513802,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Object Storage Bucket in Australia East (Sydney)","2024-09-02T06:00:00Z","2024-09-02T05:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,146.6900000000,"GB",NULL,258.438442,1.7618,209.33513802,"Oracle","Oracle",274.94106700000003,1.8743,"Standard","USD",146.69,"GB","Oracle","Oracle","ap-sydney-1","Australia East (Sydney)","ocid1.instance.oc1.ap-sydney-1.00b5aa65545b",NULL,"Bucket","Storage","Oracle Object Storage","Oracle","P5JO3Q3QA3S8KE2W","Oracle Object Storage GB",NULL,"T1Q3TMY4GPYWSSBZ.RAD5SOWO","ocid1.compartment.oc1..dev","development","Tenancy","{""environment"": ""prod""}",NULL,NULL,"Usage-Based","INV-202409-93442","Object Storage",1.7618,209.33513802,1.8743
"AllocatedMethodId-9807","AllocatedResourceId-3222","AllocatedResourceName-7367","{}",200.20102256,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"AWS Lambda Function in US East (N. Virginia)","2024-09-19T20:00:00Z","2024-09-19T19:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,65.7100000000,"Requests",NULL,260.00132799999994,3.9568,200.20102256,"AWS","AWS",298.85565099999997,4.5481,"Other","USD",65.71,"Requests","AWS","AWS","us-east-1","US East (N. Virginia)","arn:aws:ec2:us-east-1:123456789012:instance/i-00e6401d6394",NULL,"Function","Compute","AWS Lambda","AWS","SVH3EJOZ9XFZAQ8H","AWS Lambda Requests",NULL,"3XQYXGO4B9UOE3T0.HICCT5HG","438839167390","Zenith Eclipse","BillingAccount","{""cost_center"": ""CC-2042"", ""owner"": ""g.hopper""}",NULL,"ap-southeast-2a","Usage-Based","INV-202409-40775","Serverless Compute",3.9568,200.20102256,4.5481
"AllocatedMethodId-6304","AllocatedResourceId-1258","AllocatedResourceName-3854","{}",1003.29552512,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Credit",NULL,"Oracle Autonomous Database Database in Australia East (Sydney)","2024-09-26T02:00:00Z","2024-09-26T01:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1023.7709439999999,3.1264,1003.29552512,"Oracle","Oracle",1365.0170099999998,4.1685,"Dynamic","USD",327.46,"Hours","Oracle","Oracle","ap-sydney-1","Australia East (Sydney)",NULL,NULL,NULL,"Databases","Oracle Autonomous Database","Oracle","PXGX8WDZRMH3FNBD","Oracle Autonomous Database Hours",NULL,"VPINE9NNOVJARJI8.QLHBIAWP","ocid1.compartment.oc1..dev","development","Tenancy","{""team"": ""infra""}",NULL,NULL,"One-Time","INV-202409-87182","Relational Databases",3.1264,1003.29552512,4.1685
"AllocatedMethodId-2398","AllocatedResourceId-2527","AllocatedResourceName-8075","{}",240.53001336,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Compute Engine VM Instance in Belgium","2024-09-23T11:00:00Z","2024-09-23T10:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,224.1400000000,"Hours",NULL,308.371812,1.3758,240.53001336,"Google","Google",405.76064199999996,1.8103,"Dynamic","USD",224.14,"Hours","Google","Google","europe-west1","Belgium","//compute.googleapis.com/projects/helios-labs/zones/europe-west1-a/instances/inst-1735",NULL,"VM Instance","Compute","Compute Engine","Google","1G52EFUJEIR9UY7S","Compute Engine Hours",NULL,"361GH9N12O0V3Z0G.U1UQXJ4E","proj-helios-dev","helios-dev","BillingAccount","{""owner"": ""a.turing"", ""cost_center"": ""CC-3090"", ""business_unit"": ""ViennaAI""}",NULL,"europe-west1-b","Usage-Based","INV-202409-21957","Virtual Machines",1.3758,240.53001336,1.8103
"AllocatedMethodId-7947","AllocatedResourceId-8957","AllocatedResourceName-8242","{}",750.82298575,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"AWS Lambda Function in Europe (Ireland)","2024-09-24T18:00:00Z","2024-09-24T17:00:00Z","Usage","cd-886730","commit-6730",NULL,"Used","Committed Use Discount",NULL,280.8500000000,"Requests",NULL,790.3399850000001,2.8141,750.82298575,"AWS","AWS",940.875585,3.3501,"Committed","USD",280.85,"Requests","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-0075d6de5201",NULL,"Function","Compute","AWS Lambda","AWS","HRO199BRBLRTVWAL","AWS Lambda Requests",NULL,"JZEJBF7NY03VKXTU.FDJKDFR2","517389287820","Atlas Nimbus","BillingAccount","{""business_unit"": ""MarseilleSRE"", ""owner"": ""g.hopper"", ""application"": ""NimbusAPI""}",NULL,"us-east-1a","Usage-Based","INV-202409-96761","Serverless Compute",2.8141,750.82298575,3.3501
"AllocatedMethodId-2288","AllocatedResourceId-7484","AllocatedResourceName-6083","{}",373.597027,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Autonomous Database Database in US East (Ashburn)","2024-09-15T18:00:00Z","2024-09-15T17:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,339.2500000000,"Hours",NULL,602.57585,1.7762,373.597027,"Oracle","Oracle",825.4630999999999,2.4332,"Other","USD",339.25,"Hours","Oracle","Oracle","us-ashburn-1","US East (Ashburn)","ocid1.instance.oc1.us-ashburn-1.003b0ce7ecc0",NULL,"Database","Databases","Oracle Autonomous Database","Oracle","QSUHA51LIY8O69WE","Oracle Autonomous Database Hours",NULL,"ZC1B3EU1Z0SHZBUK.3XF1GP1Z","ocid1.compartment.oc1..prod","production","Tenancy","{""environment"": ""staging""}",NULL,NULL,"Usage-Based","INV-202409-78676","Relational Databases",1.7762,373.597027,2.4332
"AllocatedMethodId-6626","AllocatedResourceId-2381","AllocatedResourceName-9266","{}",884.0143851,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Storage Bucket in Singapore","2024-09-04T07:00:00Z","2024-09-04T06:00:00Z","Spend","cd-958729","commit-8729",NULL,"Used","Reserved Instance",NULL,254.9800000000,"GiB",NULL,993.27459,3.8955,884.0143851,"Google","Google",1154.957408,4.5296,"Committed","USD",254.98,"GiB","Google","Google","asia-southeast1","Singapore","//compute.googleapis.com/projects/helios-labs/zones/asia-southeast1-a/instances/inst-3520",NULL,"Bucket","Storage","Cloud Storage","Google","EL532UUJ2E42TRDW","Cloud Storage GiB",NULL,"6ET32CDXSEF6Y39C.2MU46JD2","proj-helios-prod","helios-prod","BillingAccount",NULL,NULL,"asia-southeast1-c","Usage-Based","INV-202409-23566","Object Storage",3.8955,884.0143851,4.5296
