"BillingCurrency","ContractCommitmentCategory","ContractCommitmentCost","ContractCommitmentDescription","ContractCommitmentId","ContractCommitmentPeriodEnd","ContractCommitmentPeriodStart","ContractCommitmentQuantity","ContractCommitmentType","ContractCommitmentUnit","ContractId","ContractPeriodEnd","ContractPeriodStart"
"USD","Usage",1210.041959,"ContractCommitmentDescription 4681","contractcommitment-167136","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3380.855621,"Committed Use Discount","Hours","contract-717024","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",9054.20013,"ContractCommitmentDescription 6413","contractcommitment-174299","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5141.561198,"Savings Plan","Hours","contract-324643","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",8074.969978,"ContractCommitmentDescription 4119","contractcommitment-198907","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",969.308142,"Savings Plan","Hours","contract-544154","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",7282.135884,"ContractCommitmentDescription 2790","contractcommitment-360735","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1915.900721,"Committed Use Discount","Hours","contract-246991","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",4431.307451,"ContractCommitmentDescription 2604","contractcommitment-153045","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6521.44894,"Committed Use Discount","Hours","contract-197793","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8646.50394,"ContractCommitmentDescription 1960","contractcommitment-272634","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3789.73119,"Savings Plan","Hours","contract-922157","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",1547.968253,"ContractCommitmentDescription 5861","contractcommitment-328275","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9687.09365,"Committed Use Discount","Hours","contract-163918","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",568.795797,"ContractCommitmentDescription 9320","contractcommitment-184002","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8513.425453,"Reserved Instance","Hours","contract-808011","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6193.815103,"ContractCommitmentDescription 7868","contractcommitment-789305","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5836.722893,"Committed Use Discount","Hours","contract-373432","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6716.90223,"ContractCommitmentDescription 5915","contractcommitment-579434","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3161.771963,"Reserved Instance","Hours","contract-580547","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",1324.565704,"ContractCommitmentDescription 6718","contractcommitment-172132","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8792.702425,"Savings Plan","Hours","contract-265409","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6678.632037,"ContractCommitmentDescription 5905","contractcommitment-795613","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1035.865019,"Reserved Instance","Hours","contract-221035","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",7176.121871,"ContractCommitmentDescription 4335","contractcommitment-820892","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6342.379589,"Savings Plan","Hours","contract-612262","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",35.456891,"ContractCommitmentDescription 3143","contractcommitment-768061","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9797.979538,"Reserved Instance","Hours","contract-678478","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",5455.902892,"ContractCommitmentDescription 7049","contractcommitment-710805","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5525.250967,"Savings Plan","Hours","contract-143860","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6669.334106,"ContractCommitmentDescription 6794","contractcommitment-918011","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5598.835191,"Savings Plan","Hours","contract-348237","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",7823.864961,"ContractCommitmentDescription 7745","contractcommitment-941204","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6699.071293,"Committed Use Discount","Hours","contract-379766","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",1995.7283,"ContractCommitmentDescription 8541","contractcommitment-466643","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3051.908673,"Reserved Instance","Hours","contract-124813","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",3511.461291,"ContractCommitmentDescription 9346","contractcommitment-519093","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6795.181184,"Committed Use Discount","Hours","contract-128941","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",1084.025472,"ContractCommitmentDescription 8119","contractcommitment-462479","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7285.450607,"Savings Plan","Hours","contract-735656","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",7087.852838,"ContractCommitmentDescription 1027","contractcommitment-645175","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9255.751655,"Committed Use Discount","Hours","contract-481913","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",6633.874763,"ContractCommitmentDescription 3041","contractcommitment-854717","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9000.468351,"Committed Use Discount","Hours","contract-799287","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",1918.40093,"ContractCommitmentDescription 7211","contractcommitment-810219","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7481.345602,"Reserved Instance","Hours","contract-525800","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",4649.881902,"ContractCommitmentDescription 8244","contractcommitment-808446","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2137.01401,"Savings Plan","Hours","contract-790855","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8184.234645,"ContractCommitmentDescription 4848","contractcommitment-805477","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3104.194643,"Reserved Instance","Hours","contract-125611","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",4144.41011,"ContractCommitmentDescription 4185","contractcommitment-853240","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6963.542505,"Savings Plan","Hours","contract-355836","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8041.098562,"ContractCommitmentDescription 9486","contractcommitment-587115","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",502.183851,"Reserved Instance","Hours","contract-578634","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",9500.396084,"ContractCommitmentDescription 8251","contractcommitment-742412","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8150.065073,"Committed Use Discount","Hours","contract-970914","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8398.628878,"ContractCommitmentDescription 5543","contractcommitment-903013","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7776.748353,"Savings Plan","Hours","contract-387936","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",3197.095684,"ContractCommitmentDescription 9849","contractcommitment-184491","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1383.740615,"Reserved Instance","Hours","contract-827659","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",5426.111405,"ContractCommitmentDescription 7812","contractcommitment-165290","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2068.343895,"Savings Plan","Hours","contract-907189","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",2986.126524,"ContractCommitmentDescription 7389","contractcommitment-994905","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8916.41542,"Savings Plan","Hours","contract-883826","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",290.248199,"ContractCommitmentDescription 6507","contractcommitment-801364","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6791.41885,"Savings Plan","Hours","contract-981334","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",5918.927756,"ContractCommitmentDescription 1444","contractcommitment-188025","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6427.49648,"Reserved Instance","Hours","contract-290556","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",3268.458049,"ContractCommitmentDescription 7211","contractcommitment-391773","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7520.098236,"Savings Plan","Hours","contract-975467","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",2242.221657,"ContractCommitmentDescription 2124","contractcommitment-919182","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9572.856028,"Reserved Instance","Hours","contract-359295","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",4735.610609,"ContractCommitmentDescription 2874","contractcommitment-691364","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9477.570222,"Savings Plan","Hours","contract-904150","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",7777.918862,"ContractCommitmentDescription 3683","contractcommitment-426147","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1080.987497,"Reserved Instance","Hours","contract-703766","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",1019.013054,"ContractCommitmentDescription 5941","contractcommitment-991597","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6842.590392,"Reserved Instance","Hours","contract-464069","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",126.521502,"ContractCommitmentDescription 7882","contractcommitment-962276","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4902.01705,"Savings Plan","Hours","contract-766459","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",6159.123541,"ContractCommitmentDescription 9817","contractcommitment-912270","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4834.975039,"Savings Plan","Hours","contract-437960","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",5698.496447,"ContractCommitmentDescription 7209","contractcommitment-452737","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",286.999978,"Savings Plan","Hours","contract-611233","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",5557.910279,"ContractCommitmentDescription 9464","contractcommitment-300337","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",856.12962,"Committed Use Discount","Hours","contract-612311","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",930.533506,"ContractCommitmentDescription 4630","contractcommitment-524045","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6917.871553,"Savings Plan","Hours","contract-596249","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",2709.16427,"ContractCommitmentDescription 5118","contractcommitment-341736","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1206.558848,"Reserved Instance","Hours","contract-225362","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",9805.106305,"ContractCommitmentDescription 4180","contractcommitment-410636","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2274.831635,"Reserved Instance","Hours","contract-114835","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",6974.173929,"ContractCommitmentDescription 3068","contractcommitment-768854","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8684.611973,"Savings Plan","Hours","contract-112861","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",9654.976431,"ContractCommitmentDescription 5136","contractcommitment-600935","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1140.871407,"Reserved Instance","Hours","contract-615633","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8111.420763,"ContractCommitmentDescription 5978","contractcommitment-189318","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9939.181227,"Reserved Instance","Hours","contract-735770","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",8601.666658,"ContractCommitmentDescription 8025","contractcommitment-420214","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5686.294706,"Reserved Instance","Hours","contract-899787","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",1738.135483,"ContractCommitmentDescription 2229","contractcommitment-264136","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",26.757226,"Savings Plan","Hours","contract-405407","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",711.797602,"ContractCommitmentDescription 4824","contractcommitment-377405","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7878.280266,"Committed Use Discount","Hours","contract-545790","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",714.098369,"ContractCommitmentDescription 3718","contractcommitment-931131","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3076.118126,"Committed Use Discount","Hours","contract-560485","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",4377.588636,"ContractCommitmentDescription 1653","contractcommitment-553014","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7345.339233,"Committed Use Discount","Hours","contract-127121","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",9995.724169,"ContractCommitmentDescription 5415","contractcommitment-704238","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",402.316731,"Reserved Instance","Hours","contract-644173","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",9690.552361,"ContractCommitmentDescription 8700","contractcommitment-464863","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4083.480934,"Savings Plan","Hours","contract-999398","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",8135.660347,"ContractCommitmentDescription 1601","contractcommitment-576919","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",880.597928,"Savings Plan","Hours","contract-221552","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",542.040854,"ContractCommitmentDescription 9494","contractcommitment-479353","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6226.338726,"Savings Plan","Hours","contract-896907","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",4381.160951,"ContractCommitmentDescription 8941","contractcommitment-227324","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",288.694424,"Committed Use Discount","Hours","contract-844261","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",932.092013,"ContractCommitmentDescription 2858","contractcommitment-583863","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9470.607424,"Committed Use Discount","Hours","contract-622584","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",2437.309061,"ContractCommitmentDescription 3369","contractcommitment-502219","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1906.103709,"Committed Use Discount","Hours","contract-882544","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",8205.494732,"ContractCommitmentDescription 5634","contractcommitment-861319","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2985.558498,"Committed Use Discount","Hours","contract-255813","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",4553.446169,"ContractCommitmentDescription 6272","contractcommitment-297816","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9807.746313,"Reserved Instance","Hours","contract-344907","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",3860.787525,"ContractCommitmentDescription 3492","contractcommitment-619389","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9648.244384,"Reserved Instance","Hours","contract-718849","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",153.475979,"ContractCommitmentDescription 3361","contractcommitment-529893","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8709.329713,"Reserved Instance","Hours","contract-592296","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8517.652924,"ContractCommitmentDescription 9742","contractcommitment-498468","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9541.395926,"Committed Use Discount","Hours","contract-667296","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",9974.25923,"ContractCommitmentDescription 2480","contractcommitment-555052","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9783.377282,"Committed Use Discount","Hours","contract-565230","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",2933.67776,"ContractCommitmentDescription 7141","contractcommitment-551607","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1455.697957,"Committed Use Discount","Hours","contract-693418","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",6197.103685,"ContractCommitmentDescription 4945","contractcommitment-621841","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9128.29016,"Reserved Instance","Hours","contract-583550","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",6776.108857,"ContractCommitmentDescription 3588","contractcommitment-177449","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4417.297836,"Savings Plan","Hours","contract-769975","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",8533.354587,"ContractCommitmentDescription 2747","contractcommitment-348728","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3813.642977,"Savings Plan","Hours","contract-833247","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",5659.29017,"ContractCommitmentDescription 1803","contractcommitment-735863","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7451.721541,"Savings Plan","Hours","contract-736553","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",6777.644586,"ContractCommitmentDescription 3240","contractcommitment-758765","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",971.639298,"Committed Use Discount","Hours","contract-423939","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",901.333757,"ContractCommitmentDescription 5835","contractcommitment-442589","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7474.808649,"Reserved Instance","Hours","contract-238579","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",9140.489535,"ContractCommitmentDescription 8894","contractcommitment-945664","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2951.414492,"Savings Plan","Hours","contract-591081","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",903.028756,"ContractCommitmentDescription 7464","contractcommitment-114594","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2644.585784,"Reserved Instance","Hours","contract-486490","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",4714.76868,"ContractCommitmentDescription 6374","contractcommitment-739717","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2213.672001,"Reserved Instance","Hours","contract-835132","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",3043.645844,"ContractCommitmentDescription 9071","contractcommitment-221761","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",971.919986,"Committed Use Discount","Hours","contract-507524","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8854.137839,"ContractCommitmentDescription 2622","contractcommitment-974190","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4893.470378,"Savings Plan","Hours","contract-134305","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",993.546246,"ContractCommitmentDescription 7018","contractcommitment-670913","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9016.962124,"Committed Use Discount","Hours","contract-163491","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6627.687381,"ContractCommitmentDescription 1349","contractcommitment-153035","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7867.945905,"Reserved Instance","Hours","contract-925206","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",8130.529811,"ContractCommitmentDescription 4817","contractcommitment-444519","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7743.685778,"Committed Use Discount","Hours","contract-390743","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6610.576426,"ContractCommitmentDescription 1422","contractcommitment-238205","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",148.603272,"Reserved Instance","Hours","contract-116547","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",5260.855266,"ContractCommitmentDescription 2041","contractcommitment-599380","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4482.752143,"Savings Plan","Hours","contract-722503","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",7272.429972,"ContractCommitmentDescription 9543","contractcommitment-416282","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4580.425221,"Reserved Instance","Hours","contract-602248","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",734.907158,"ContractCommitmentDescription 2323","contractcommitment-437758","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6082.974236,"Reserved Instance","Hours","contract-388375","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",5055.510745,"ContractCommitmentDescription 8048","contractcommitment-203996","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7930.960931,"Reserved Instance","Hours","contract-550961","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",4159.896503,"ContractCommitmentDescription 2557","contractcommitment-427730","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4267.640063,"Committed Use Discount","Hours","contract-492483","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",4318.765186,"ContractCommitmentDescription 7105","contractcommitment-951201","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1301.154536,"Reserved Instance","Hours","contract-802559","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",9683.986253,"ContractCommitmentDescription 6119","contractcommitment-468727","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1036.005659,"Committed Use Discount","Hours","contract-262246","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",1148.853135,"ContractCommitmentDescription 5564","contractcommitment-701987","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2261.590943,"Savings Plan","Hours","contract-738577","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",9215.37521,"ContractCommitmentDescription 6751","contractcommitment-106402","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1814.055582,"Reserved Instance","Hours","contract-172965","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Usage",4198.324938,"ContractCommitmentDescription 6585","contractcommitment-265055","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3700.530925,"Committed Use Discount","Hours","contract-914571","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
"USD","Spend",6739.687106,"ContractCommitmentDescription 5458","contractcommitment-564637","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6619.386928,"Savings Plan","Hours","contract-534303","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z"
