"BillingCurrency","ContractCommitmentApplicability","ContractCommitmentBenefitCategory","ContractCommitmentCategory","ContractCommitmentCost","ContractCommitmentCreated","ContractCommitmentDescription","ContractCommitmentDiscountPercentage","ContractCommitmentDurationType","ContractCommitmentFulfillmentInterval","ContractCommitmentId","ContractCommitmentLastUpdated","ContractCommitmentLifecycleStatus","ContractCommitmentModel","ContractCommitmentOfferCategory","ContractCommitmentPaymentInterval","ContractCommitmentPaymentModel","ContractCommitmentPaymentUpfrontPercentage","ContractCommitmentPeriodEnd","ContractCommitmentPeriodStart","ContractCommitmentQuantity","ContractCommitmentType","ContractCommitmentUnit","ContractId","ContractPeriodEnd","ContractPeriodStart","InvoiceIssuerName","PricingCurrency","PricingCurrencyContractCommitmentCost","ServiceProviderName"
"USD","{}","Other","Usage",2137.472992,"2024-08-29T00:00:00Z","ContractCommitmentDescription 7570",9024.428655,"Reserved Instance","Annually","contractcommitment-102260","2024-10-04T00:00:00Z","Exhausted","Discontinuous","Public","Quarterly","Partial Upfront",6965.915036,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7305.053174,"Committed Use Discount","Hours","contract-262316","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",1898.978673,"AWS"
"USD","{}","Availability","Spend",501.423373,"2024-08-30T00:00:00Z","ContractCommitmentDescription 8811",NULL,"Committed Use Discount","Weekly","contractcommitment-159642","2024-10-10T00:00:00Z","Expired","Continuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8618.19202,"Savings Plan","Hours","contract-697347","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",2462.153478,"Microsoft"
"USD","{}","Availability","Usage",2042.591994,"2024-08-12T00:00:00Z","ContractCommitmentDescription 6147",NULL,"Savings Plan","Weekly","contractcommitment-804318","2024-10-02T00:00:00Z","Canceled","Discontinuous","Public","Quarterly","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6211.592555,"Committed Use Discount","Hours","contract-176819","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",5376.344041,"AWS"
"USD","{}","Availability","Usage",1577.468324,"2024-08-27T00:00:00Z","ContractCommitmentDescription 9900",NULL,"Committed Use Discount","Transactional","contractcommitment-108203","2024-10-06T00:00:00Z","Canceled","Discontinuous","Negotiated","Monthly","Partial Upfront",1154.286704,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1070.359777,"Committed Use Discount","Hours","contract-385577","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",2817.562715,"Google"
"USD","{}","Other","Usage",9053.364911,"2024-08-21T00:00:00Z","ContractCommitmentDescription 1832",922.984677,"Savings Plan","Quarterly","contractcommitment-146228","2024-10-04T00:00:00Z","Proposed","Discontinuous","Negotiated","Custom","Partial Upfront",1615.819763,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4418.355119,"Committed Use Discount","Hours","contract-688153","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",96.696996,"Microsoft"
"USD","{}","Entitlement","Usage",1274.455193,"2024-08-27T00:00:00Z","ContractCommitmentDescription 6050",3646.515153,"Reserved Instance","Semi-Annually","contractcommitment-320281","2024-10-09T00:00:00Z","Canceled","Continuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4063.773898,"Committed Use Discount","Hours","contract-348237","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",8646.056962,"AWS"
"USD","{}","Availability","Usage",8022.351389,"2024-08-18T00:00:00Z","ContractCommitmentDescription 5065",NULL,"Committed Use Discount","Daily","contractcommitment-501124","2024-10-01T00:00:00Z","Superseded","Continuous","Public","Monthly","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4603.032347,"Savings Plan","Hours","contract-333752","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",236.644347,"Microsoft"
"USD","{}","Availability","Usage",6414.817386,"2024-08-19T00:00:00Z","ContractCommitmentDescription 7548",NULL,"Committed Use Discount","Semi-Annually","contractcommitment-128941","2024-10-06T00:00:00Z","Proposed","Discontinuous","Negotiated","Annual","Partial Upfront",382.571974,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5965.71255,"Savings Plan","Hours","contract-557592","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",6062.088533,"Microsoft"
"USD","{}","Discount","Usage",16.912782,"2024-08-19T00:00:00Z","ContractCommitmentDescription 9821",6868.571469,"Committed Use Discount","Monthly","contractcommitment-481913","2024-10-10T00:00:00Z","Exhausted","Continuous","Public","Annual","Partial Upfront",6633.874763,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1246.253157,"Savings Plan","Hours","contract-424308","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",6668.929041,"AWS"
"USD","{}","Entitlement","Usage",6649.294342,"2024-08-19T00:00:00Z","ContractCommitmentDescription 7211",6773.179453,"Reserved Instance","Custom","contractcommitment-696750","2024-10-05T00:00:00Z","Active","Discontinuous","Negotiated","Quarterly","Partial Upfront",2101.826849,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7857.588275,"Committed Use Discount","Hours","contract-587575","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",4417.860168,"Google"
"USD","{}","Discount","Usage",5154.520099,"2024-08-15T00:00:00Z","ContractCommitmentDescription 6491",933.872001,"Reserved Instance","Quarterly","contractcommitment-335552","2024-10-08T00:00:00Z","Superseded","Continuous","Negotiated","One-Time","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4751.363442,"Reserved Instance","Hours","contract-534572","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",8861.369091,"Microsoft"
"USD","{}","Entitlement","Spend",8926.598262,"2024-08-19T00:00:00Z","ContractCommitmentDescription 2746",7784.204068,"Reserved Instance","Weekly","contractcommitment-943170","2024-10-08T00:00:00Z","Canceled","Discontinuous","Negotiated","Annual","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1213.585992,"Reserved Instance","Hours","contract-800005","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",5311.318859,"Microsoft"
"USD","{}","Other","Spend",7436.554422,"2024-08-17T00:00:00Z","ContractCommitmentDescription 8777",4500.697572,"Reserved Instance","Quarterly","contractcommitment-903013","2024-10-10T00:00:00Z","Superseded","Discontinuous","Negotiated","Quarterly","Partial Upfront",774.833539,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2857.281509,"Savings Plan","Hours","contract-435239","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",8930.268328,"Google"
"USD","{}","Entitlement","Spend",642.288507,"2024-08-27T00:00:00Z","ContractCommitmentDescription 7678",3308.81391,"Savings Plan","Annually","contractcommitment-165290","2024-10-03T00:00:00Z","Pending","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8806.566728,"Committed Use Discount","Hours","contract-600149","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",58.960836,"AWS"
"USD","{}","Entitlement","Usage",2194.216346,"2024-08-22T00:00:00Z","ContractCommitmentDescription 8140",4856.419938,"Savings Plan","Semi-Annually","contractcommitment-801364","2024-10-07T00:00:00Z","Canceled","Discontinuous","Negotiated","Semi-Annual","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5341.236295,"Savings Plan","Hours","contract-188025","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",6427.49648,"Google"
"USD","{}","Other","Usage",2116.602842,"2024-08-17T00:00:00Z","ContractCommitmentDescription 6355",3375.005481,"Savings Plan","Quarterly","contractcommitment-888539","2024-10-03T00:00:00Z","Superseded","Discontinuous","Public","One-Time","Partial Upfront",193.832871,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5394.190479,"Savings Plan","Hours","contract-781725","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",686.183705,"Microsoft"
"USD","{}","Entitlement","Spend",1262.209749,"2024-08-31T00:00:00Z","ContractCommitmentDescription 2874",5639.695819,"Reserved Instance","Total Term","contractcommitment-833442","2024-10-04T00:00:00Z","Active","Discontinuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7183.572286,"Reserved Instance","Hours","contract-213349","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",5786.847325,"AWS"
"USD","{}","Entitlement","Spend",5920.978612,"2024-08-13T00:00:00Z","ContractCommitmentDescription 4978",1019.013054,"Savings Plan","Custom","contractcommitment-944657","2024-10-11T00:00:00Z","Proposed","Continuous","Public","Annual","Partial Upfront",6615.213407,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",689.567365,"Committed Use Discount","Hours","contract-113266","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",8495.75627,"Google"
"USD","{}","Other","Spend",4354.87145,"2024-08-28T00:00:00Z","ContractCommitmentDescription 9548",9654.737312,"Savings Plan","Custom","contractcommitment-947458","2024-10-07T00:00:00Z","Expired","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3223.04583,"Reserved Instance","Hours","contract-392477","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",8816.31184,"Oracle"
"USD","{}","Other","Usage",286.999978,"2024-08-17T00:00:00Z","ContractCommitmentDescription 6325",1818.398572,"Reserved Instance","Semi-Annually","contractcommitment-936587","2024-10-10T00:00:00Z","Active","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5557.910279,"Committed Use Discount","Hours","contract-189771","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",2413.560504,"Microsoft"
"USD","{}","Other","Usage",4481.745496,"2024-08-16T00:00:00Z","ContractCommitmentDescription 1282",930.533506,"Reserved Instance","Annually","contractcommitment-825391","2024-10-09T00:00:00Z","Pending","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4255.038127,"Committed Use Discount","Hours","contract-468900","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",7028.549422,"Oracle"
"USD","{}","Entitlement","Usage",1195.547413,"2024-08-22T00:00:00Z","ContractCommitmentDescription 9779",9508.775604,"Committed Use Discount","Weekly","contractcommitment-300845","2024-10-05T00:00:00Z","Pending","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",5246.368691,"Savings Plan","Hours","contract-973074","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",1941.175781,"Google"
"USD","{}","Entitlement","Usage",455.15701,"2024-08-20T00:00:00Z","ContractCommitmentDescription 1893",5533.589668,"Committed Use Discount","Weekly","contractcommitment-768854","2024-10-03T00:00:00Z","Superseded","Discontinuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4787.142086,"Savings Plan","Hours","contract-153872","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",2524.783905,"Microsoft"
"USD","{}","Discount","Spend",1517.27007,"2024-08-28T00:00:00Z","ContractCommitmentDescription 5978",851.809084,"Reserved Instance","Daily","contractcommitment-685181","2024-10-02T00:00:00Z","Superseded","Discontinuous","Negotiated","Annual","Partial Upfront",4505.144649,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4427.21004,"Committed Use Discount","Hours","contract-420214","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",5686.294706,"Oracle"
"USD","{}","Entitlement","Usage",6604.281372,"2024-08-12T00:00:00Z","ContractCommitmentDescription 3573",2398.651777,"Committed Use Discount","Daily","contractcommitment-264136","2024-10-02T00:00:00Z","Proposed","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",326.398554,"Savings Plan","Hours","contract-837135","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",8596.067313,"AWS"
"USD","{}","Entitlement","Usage",1147.763025,"2024-08-24T00:00:00Z","ContractCommitmentDescription 4683",6476.347234,"Savings Plan","Weekly","contractcommitment-174878","2024-10-05T00:00:00Z","Proposed","Continuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9211.92529,"Savings Plan","Hours","contract-591465","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",6886.779912,"AWS"
"USD","{}","Other","Spend",5980.36662,"2024-08-23T00:00:00Z","ContractCommitmentDescription 8078",7345.339233,"Committed Use Discount","Quarterly","contractcommitment-127121","2024-10-09T00:00:00Z","Proposed","Continuous","Negotiated","Custom","Partial Upfront",5762.469846,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7631.090042,"Reserved Instance","Hours","contract-644173","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",6515.094894,"Oracle"
"USD","{}","Other","Spend",4700.10395,"2024-08-26T00:00:00Z","ContractCommitmentDescription 7690",3333.083937,"Committed Use Discount","Daily","contractcommitment-999398","2024-10-10T00:00:00Z","Pending","Discontinuous","Public","Custom","Partial Upfront",2882.177954,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9451.935396,"Committed Use Discount","Hours","contract-576919","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",880.597928,"Google"
"USD","{}","Discount","Usage",4132.475708,"2024-08-21T00:00:00Z","ContractCommitmentDescription 4073",5184.393925,"Committed Use Discount","Total Term","contractcommitment-755788","2024-10-02T00:00:00Z","Exhausted","Continuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2880.29145,"Committed Use Discount","Hours","contract-227324","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",288.694424,"Google"
"USD","{}","Other","Spend",2247.006595,"2024-08-26T00:00:00Z","ContractCommitmentDescription 2858",4614.478942,"Reserved Instance","Weekly","contractcommitment-622584","2024-10-05T00:00:00Z","Canceled","Discontinuous","Public","Semi-Annual","Partial Upfront",9802.446326,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2437.309061,"Committed Use Discount","Hours","contract-502219","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",1906.103709,"Microsoft"
"USD","{}","Availability","Spend",2828.389833,"2024-08-29T00:00:00Z","ContractCommitmentDescription 5891",NULL,"Committed Use Discount","Total Term","contractcommitment-255813","2024-10-05T00:00:00Z","Exhausted","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3772.100542,"Savings Plan","Hours","contract-831380","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",2388.055442,"Microsoft"
"USD","{}","Other","Usage",3860.787525,"2024-08-24T00:00:00Z","ContractCommitmentDescription 3492",4953.286496,"Reserved Instance","Weekly","contractcommitment-626690","2024-10-07T00:00:00Z","Expired","Discontinuous","Negotiated","Semi-Annual","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4569.280745,"Committed Use Discount","Hours","contract-529893","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",8709.329713,"Oracle"
"USD","{}","Other","Spend",8517.652924,"2024-08-29T00:00:00Z","ContractCommitmentDescription 9742",3800.093975,"Savings Plan","Total Term","contractcommitment-667296","2024-10-08T00:00:00Z","Proposed","Continuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",9974.25923,"Committed Use Discount","Hours","contract-555052","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",9783.377282,"Microsoft"
"USD","{}","Discount","Usage",7961.434652,"2024-08-17T00:00:00Z","ContractCommitmentDescription 5806",3584.633423,"Savings Plan","Weekly","contractcommitment-356059","2024-10-03T00:00:00Z","Expired","Discontinuous","Negotiated","Monthly","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8708.395986,"Committed Use Discount","Hours","contract-621841","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","AWS","USD",9128.29016,"AWS"
"USD","{}","Availability","Spend",8989.085317,"2024-08-24T00:00:00Z","ContractCommitmentDescription 8622",NULL,"Committed Use Discount","Transactional","contractcommitment-265649","2024-10-08T00:00:00Z","Proposed","Discontinuous","Public","Annual","Partial Upfront",6389.387024,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",4243.089385,"Savings Plan","Hours","contract-986365","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",3021.216705,"Microsoft"
"USD","{}","Availability","Usage",9926.920436,"2024-08-16T00:00:00Z","ContractCommitmentDescription 5837",NULL,"Committed Use Discount","Annually","contractcommitment-387813","2024-10-02T00:00:00Z","Proposed","Continuous","Public","Quarterly","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3523.209558,"Committed Use Discount","Hours","contract-751051","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",2506.268,"Oracle"
"USD","{}","Other","Spend",5795.738054,"2024-08-28T00:00:00Z","ContractCommitmentDescription 3153",901.333757,"Savings Plan","Semi-Annually","contractcommitment-883790","2024-10-11T00:00:00Z","Exhausted","Continuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3658.575306,"Committed Use Discount","Hours","contract-970813","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",1645.444204,"Microsoft"
"USD","{}","Discount","Spend",7541.514931,"2024-08-22T00:00:00Z","ContractCommitmentDescription 4696",8601.405969,"Committed Use Discount","Annually","contractcommitment-986827","2024-10-06T00:00:00Z","Superseded","Discontinuous","Negotiated","Semi-Annual","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",1235.887368,"Savings Plan","Hours","contract-712955","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",3810.254993,"Oracle"
"USD","{}","Discount","Usage",9152.559087,"2024-08-28T00:00:00Z","ContractCommitmentDescription 4626",6476.523806,"Committed Use Discount","Total Term","contractcommitment-835132","2024-10-11T00:00:00Z","Active","Discontinuous","Negotiated","Monthly","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3043.645844,"Savings Plan","Hours","contract-201913","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",2348.000324,"Google"
"USD","{}","Other","Spend",8854.137839,"2024-08-19T00:00:00Z","ContractCommitmentDescription 2622",8336.930833,"Committed Use Discount","Annually","contractcommitment-393328","2024-10-08T00:00:00Z","Proposed","Discontinuous","Negotiated","Semi-Annual","Partial Upfront",9505.551699,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8554.501933,"Reserved Instance","Hours","contract-670913","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",9016.962124,"Microsoft"
"USD","{}","Discount","Usage",916.734238,"2024-08-30T00:00:00Z","ContractCommitmentDescription 4475",6417.044672,"Committed Use Discount","Hourly","contractcommitment-153035","2024-10-07T00:00:00Z","Superseded","Discontinuous","Negotiated","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",8298.178372,"Committed Use Discount","Hours","contract-714867","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",2159.513519,"Google"
"USD","{}","Availability","Spend",9875.273044,"2024-08-21T00:00:00Z","ContractCommitmentDescription 9850",NULL,"Reserved Instance","Daily","contractcommitment-793169","2024-10-03T00:00:00Z","Superseded","Continuous","Negotiated","One-Time","Partial Upfront",7899.846642,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",2379.316061,"Savings Plan","Hours","contract-282710","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",2653.675083,"Microsoft"
"USD","{}","Discount","Usage",4482.752143,"2024-08-18T00:00:00Z","ContractCommitmentDescription 6931",5132.379576,"Reserved Instance","Total Term","contractcommitment-628313","2024-10-09T00:00:00Z","Pending","Continuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",608.254075,"Savings Plan","Hours","contract-546980","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",6860.974961,"Microsoft"
"USD","{}","Entitlement","Spend",1261.915883,"2024-08-17T00:00:00Z","ContractCommitmentDescription 9984",7121.527964,"Savings Plan","Custom","contractcommitment-656329","2024-10-02T00:00:00Z","Active","Discontinuous","Public","One-Time","All Upfront",1.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",6547.129575,"Committed Use Discount","Hours","contract-550961","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Oracle","USD",4515.54916,"Oracle"
"USD","{}","Other","Spend",3125.4835,"2024-08-18T00:00:00Z","ContractCommitmentDescription 6120",6651.078631,"Savings Plan","Weekly","contractcommitment-820184","2024-10-06T00:00:00Z","Exhausted","Continuous","Negotiated","One-Time","No Upfront",0.0,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",7445.889692,"Savings Plan","Hours","contract-683397","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Microsoft","USD",599.80978,"Microsoft"
"USD","{}","Other","Spend",9683.986253,"2024-08-28T00:00:00Z","ContractCommitmentDescription 6119",3516.461857,"Committed Use Discount","Transactional","contractcommitment-323072","2024-10-07T00:00:00Z","Pending","Discontinuous","Negotiated","One-Time","Partial Upfront",8453.734186,"2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",3675.610506,"Savings Plan","Hours","contract-946432","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Google","USD",4291.124109,"Google"
