"BilledCost","BillingAccountId","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","ChargeCategory","InvoiceDetailCreated","InvoiceDetailDescription","InvoiceDetailGrain","InvoiceDetailId","InvoiceDetailLastUpdated","InvoiceId","InvoiceIssueDate","InvoiceIssueStatus","InvoiceIssuerName","PaymentCurrency","PaymentCurrencyBilledCost","PaymentCurrencyInvoiceDetailId","PaymentDueDate","PaymentTerms","PurchaseOrderNumber","ReferenceInvoiceId"
8787.218778,"billingaccount-972064","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-16T00:00:00Z","InvoiceDetailDescription 4923","{}","invoicedetail-160738","2024-10-01T00:00:00Z","invoice-352572","2024-10-02T00:00:00Z","Voided","Google","USD",9469.494453,"invoicedetail-160738","2024-10-20T00:00:00Z","Net 30","PO-867460","referenceinvoice-609597"
4752.823781,"billingaccount-676510","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-14T00:00:00Z","InvoiceDetailDescription 5342","{}","invoicedetail-653306","2024-10-03T00:00:00Z","invoice-736059","2024-10-03T00:00:00Z","Issued","AWS","USD",9643.62906,"invoicedetail-653306","2024-10-31T00:00:00Z","Due on receipt","PO-891952","referenceinvoice-865388"
8996.140846,"billingaccount-573417","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-22T00:00:00Z","InvoiceDetailDescription 5061","{}","invoicedetail-335612","2024-10-07T00:00:00Z","invoice-167136","2024-10-04T00:00:00Z","Issued","Microsoft","USD",210.3426,"invoicedetail-335612","2024-10-25T00:00:00Z","Due on receipt","PO-341292","referenceinvoice-717024"
674.003281,"billingaccount-132938","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-31T00:00:00Z","InvoiceDetailDescription 2160","{}","invoicedetail-639131","2024-10-02T00:00:00Z","invoice-349565","2024-10-02T00:00:00Z","Issued","Microsoft","USD",6689.777783,"invoicedetail-639131","2024-10-16T00:00:00Z","Net 30","PO-665427","referenceinvoice-238739"
943.257965,"billingaccount-790993","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-24T00:00:00Z","InvoiceDetailDescription 6804","{}","invoicedetail-544154","2024-10-08T00:00:00Z","invoice-531071","2024-10-05T00:00:00Z","Issued","Oracle","USD",8638.367484,"invoicedetail-544154","2024-10-18T00:00:00Z","Net 30","PO-806073","referenceinvoice-785197"
2486.563339,"billingaccount-299448","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-30T00:00:00Z","InvoiceDetailDescription 8350","{}","invoicedetail-246991","2024-10-07T00:00:00Z","invoice-542374","2024-10-04T00:00:00Z","Open","AWS","USD",2785.451447,"invoicedetail-246991","2024-10-14T00:00:00Z","Net 30","PO-179046","referenceinvoice-564656"
9689.962573,"billingaccount-890170","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-30T00:00:00Z","InvoiceDetailDescription 3724","{}","invoicedetail-526156","2024-10-11T00:00:00Z","invoice-609231","2024-10-06T00:00:00Z","Issued","AWS","USD",2137.472992,"invoicedetail-526156","2024-10-13T00:00:00Z","Net 60","PO-161483","referenceinvoice-272634"
2852.492289,"billingaccount-830429","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-31T00:00:00Z","InvoiceDetailDescription 8973","{}","invoicedetail-262316","2024-10-07T00:00:00Z","invoice-299122","2024-10-04T00:00:00Z","Issued","Oracle","USD",2177.008984,"invoicedetail-262316","2024-10-25T00:00:00Z","Net 30","PO-707314","referenceinvoice-871476"
4767.885171,"billingaccount-994141","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-21T00:00:00Z","InvoiceDetailDescription 3579","{}","invoicedetail-159642","2024-10-01T00:00:00Z","invoice-632496","2024-10-02T00:00:00Z","Open","AWS","USD",8513.425453,"invoicedetail-159642","2024-10-27T00:00:00Z","Net 30","PO-723939","referenceinvoice-171262"
5789.190575,"billingaccount-141672","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-19T00:00:00Z","InvoiceDetailDescription 2343","{}","invoicedetail-539589","2024-10-02T00:00:00Z","invoice-789305","2024-10-06T00:00:00Z","Voided","Microsoft","USD",5652.269238,"invoicedetail-539589","2024-10-20T00:00:00Z","Net 60","PO-373432","referenceinvoice-314181"
6716.90223,"billingaccount-414569","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-24T00:00:00Z","InvoiceDetailDescription 6180","{}","invoicedetail-888387","2024-10-05T00:00:00Z","invoice-176066","2024-10-05T00:00:00Z","Open","Google","USD",4582.855226,"invoicedetail-888387","2024-10-16T00:00:00Z","Due on receipt","PO-204837","referenceinvoice-176819"
8808.641737,"billingaccount-356150","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-15T00:00:00Z","InvoiceDetailDescription 5669","{}","invoicedetail-265409","2024-10-05T00:00:00Z","invoice-559469","2024-10-03T00:00:00Z","Voided","Microsoft","USD",7035.399251,"invoicedetail-265409","2024-10-21T00:00:00Z","Due on receipt","PO-946305","referenceinvoice-785743"
2644.659215,"billingaccount-212235","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-14T00:00:00Z","InvoiceDetailDescription 3546","{}","invoicedetail-385577","2024-10-05T00:00:00Z","invoice-395442","2024-10-02T00:00:00Z","Voided","AWS","USD",2106.296548,"invoicedetail-385577","2024-10-13T00:00:00Z","Net 60","PO-313487","referenceinvoice-820892"
922.984677,"billingaccount-544151","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-15T00:00:00Z","InvoiceDetailDescription 1722","{}","invoicedetail-103717","2024-10-08T00:00:00Z","invoice-449759","2024-10-04T00:00:00Z","Open","Google","USD",6371.133773,"invoicedetail-103717","2024-10-12T00:00:00Z","Net 60","PO-269430","referenceinvoice-877236"
1118.738806,"billingaccount-824586","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-14T00:00:00Z","InvoiceDetailDescription 9938","{}","invoicedetail-137778","2024-10-07T00:00:00Z","invoice-975136","2024-10-06T00:00:00Z","Issued","Oracle","USD",5825.095665,"invoicedetail-137778","2024-10-13T00:00:00Z","Net 30","PO-550664","referenceinvoice-233636"
2100.765383,"billingaccount-361650","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-22T00:00:00Z","InvoiceDetailDescription 6794","{}","invoicedetail-918011","2024-10-06T00:00:00Z","invoice-687080","2024-10-02T00:00:00Z","Issued","AWS","USD",9738.370226,"invoicedetail-918011","2024-10-20T00:00:00Z","Due on receipt","PO-262060","referenceinvoice-348237"
7365.644718,"billingaccount-448321","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-26T00:00:00Z","InvoiceDetailDescription 5065","{}","invoicedetail-379766","2024-10-07T00:00:00Z","invoice-266931","2024-10-02T00:00:00Z","Voided","Microsoft","USD",1080.956264,"invoicedetail-379766","2024-10-14T00:00:00Z","Net 30","PO-593554","referenceinvoice-333238"
2229.235472,"billingaccount-792094","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-17T00:00:00Z","InvoiceDetailDescription 7528","{}","invoicedetail-444207","2024-10-06T00:00:00Z","invoice-392136","2024-10-04T00:00:00Z","Open","Microsoft","USD",9668.89104,"invoicedetail-444207","2024-10-18T00:00:00Z","Net 60","PO-468203","referenceinvoice-772642"
8770.384116,"billingaccount-373903","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-14T00:00:00Z","InvoiceDetailDescription 5349","{}","invoicedetail-140115","2024-10-06T00:00:00Z","invoice-213668","2024-10-02T00:00:00Z","Voided","Oracle","USD",4345.637586,"invoicedetail-140115","2024-10-12T00:00:00Z","Due on receipt","PO-924629","referenceinvoice-428914"
8995.047329,"billingaccount-299312","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-12T00:00:00Z","InvoiceDetailDescription 1727","{}","invoicedetail-843215","2024-10-09T00:00:00Z","invoice-557239","2024-10-02T00:00:00Z","Open","Oracle","USD",5199.203486,"invoicedetail-843215","2024-10-21T00:00:00Z","Due on receipt","PO-820221","referenceinvoice-854377"
9207.708562,"billingaccount-753425","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-20T00:00:00Z","InvoiceDetailDescription 3041","{}","invoicedetail-854717","2024-10-07T00:00:00Z","invoice-414910","2024-10-02T00:00:00Z","Voided","Microsoft","USD",3092.846622,"invoicedetail-854717","2024-10-30T00:00:00Z","Net 60","PO-442027","referenceinvoice-521947"
6649.294342,"billingaccount-497562","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-14T00:00:00Z","InvoiceDetailDescription 5930","{}","invoicedetail-525800","2024-10-03T00:00:00Z","invoice-674553","2024-10-03T00:00:00Z","Open","Google","USD",3038.749493,"invoicedetail-525800","2024-10-23T00:00:00Z","Net 30","PO-550770","referenceinvoice-923927"
2137.01401,"billingaccount-596171","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-17T00:00:00Z","InvoiceDetailDescription 2389","{}","invoicedetail-397571","2024-10-08T00:00:00Z","invoice-640490","2024-10-05T00:00:00Z","Voided","Google","USD",6329.408558,"invoicedetail-397571","2024-11-02T00:00:00Z","Net 60","PO-197923","referenceinvoice-958179"
244.253877,"billingaccount-356736","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-22T00:00:00Z","InvoiceDetailDescription 2193","{}","invoicedetail-577538","2024-10-04T00:00:00Z","invoice-534572","2024-10-03T00:00:00Z","Voided","Microsoft","USD",5756.708994,"invoicedetail-577538","2024-10-14T00:00:00Z","Due on receipt","PO-830180","referenceinvoice-502630"
6876.224131,"billingaccount-887443","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-19T00:00:00Z","InvoiceDetailDescription 7965","{}","invoicedetail-329471","2024-10-04T00:00:00Z","invoice-284430","2024-10-03T00:00:00Z","Voided","Oracle","USD",5179.577504,"invoicedetail-329471","2024-10-30T00:00:00Z","Net 30","PO-684482","referenceinvoice-361303"
5311.318859,"billingaccount-686075","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-17T00:00:00Z","InvoiceDetailDescription 6198","{}","invoicedetail-891937","2024-10-03T00:00:00Z","invoice-564071","2024-10-05T00:00:00Z","Voided","AWS","USD",8150.065073,"invoicedetail-891937","2024-11-02T00:00:00Z","Due on receipt","PO-547470","referenceinvoice-970914"
7517.767865,"billingaccount-980660","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-26T00:00:00Z","InvoiceDetailDescription 9540","{}","invoicedetail-608136","2024-10-08T00:00:00Z","invoice-757193","2024-10-05T00:00:00Z","Open","Oracle","USD",2745.974469,"invoicedetail-608136","2024-10-20T00:00:00Z","Net 30","PO-848206","referenceinvoice-399607"
805.776577,"billingaccount-258157","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-23T00:00:00Z","InvoiceDetailDescription 7275","{}","invoicedetail-827659","2024-10-06T00:00:00Z","invoice-260227","2024-10-04T00:00:00Z","Voided","Microsoft","USD",2139.528771,"invoicedetail-827659","2024-10-28T00:00:00Z","Net 60","PO-527398","referenceinvoice-446954"
3894.768127,"billingaccount-907189","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-18T00:00:00Z","InvoiceDetailDescription 1320","{}","invoicedetail-998348","2024-10-01T00:00:00Z","invoice-902784","2024-10-03T00:00:00Z","Voided","Oracle","USD",3803.810289,"invoicedetail-998348","2024-10-23T00:00:00Z","Net 30","PO-468845","referenceinvoice-413118"
8978.113474,"billingaccount-611945","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-18T00:00:00Z","InvoiceDetailDescription 5471","{}","invoicedetail-557007","2024-10-09T00:00:00Z","invoice-609232","2024-10-06T00:00:00Z","Open","Oracle","USD",3888.572032,"invoicedetail-557007","2024-11-01T00:00:00Z","Due on receipt","PO-812131","referenceinvoice-936912"
5341.236295,"billingaccount-513160","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-26T00:00:00Z","InvoiceDetailDescription 1444","{}","invoicedetail-188025","2024-10-08T00:00:00Z","invoice-773971","2024-10-03T00:00:00Z","Issued","Oracle","USD",1356.994872,"invoicedetail-188025","2024-10-29T00:00:00Z","Net 60","PO-290556","referenceinvoice-152727"
3268.458049,"billingaccount-898207","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-19T00:00:00Z","InvoiceDetailDescription 5558","{}","invoicedetail-888539","2024-10-06T00:00:00Z","invoice-972335","2024-10-03T00:00:00Z","Issued","Google","USD",2522.715318,"invoicedetail-888539","2024-10-24T00:00:00Z","Net 30","PO-593152","referenceinvoice-120324"
402.581375,"billingaccount-132537","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-20T00:00:00Z","InvoiceDetailDescription 4266","{}","invoicedetail-979995","2024-10-04T00:00:00Z","invoice-121369","2024-10-02T00:00:00Z","Voided","AWS","USD",1523.823458,"invoicedetail-979995","2024-10-29T00:00:00Z","Net 30","PO-596564","referenceinvoice-801978"
2562.436966,"billingaccount-486814","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Purchase","2024-08-13T00:00:00Z","InvoiceDetailDescription 2876","{}","invoicedetail-915573","2024-10-04T00:00:00Z","invoice-959099","2024-10-05T00:00:00Z","Open","AWS","USD",9647.20773,"invoicedetail-915573","2024-11-03T00:00:00Z","Net 30","PO-706794","referenceinvoice-126925"
9414.705985,"billingaccount-307963","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-13T00:00:00Z","InvoiceDetailDescription 4978","{}","invoicedetail-206851","2024-10-11T00:00:00Z","invoice-831059","2024-10-05T00:00:00Z","Issued","Google","USD",8502.932391,"invoicedetail-206851","2024-10-24T00:00:00Z","Due on receipt","PO-944657","referenceinvoice-226935"
3705.708762,"billingaccount-630538","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-20T00:00:00Z","InvoiceDetailDescription 1207","{}","invoicedetail-990844","2024-10-09T00:00:00Z","invoice-540463","2024-10-05T00:00:00Z","Issued","AWS","USD",1055.388706,"invoicedetail-990844","2024-11-02T00:00:00Z","Net 60","PO-766459","referenceinvoice-968962"
5217.467469,"billingaccount-782054","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-27T00:00:00Z","InvoiceDetailDescription 9817","{}","invoicedetail-912270","2024-10-07T00:00:00Z","invoice-606983","2024-10-03T00:00:00Z","Issued","Oracle","USD",4355.74493,"invoicedetail-912270","2024-11-02T00:00:00Z","Due on receipt","PO-721254","referenceinvoice-381433"
2438.634392,"billingaccount-587282","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-24T00:00:00Z","InvoiceDetailDescription 7209","{}","invoicedetail-452737","2024-10-02T00:00:00Z","invoice-130094","2024-10-04T00:00:00Z","Issued","Google","USD",8509.528363,"invoicedetail-452737","2024-10-25T00:00:00Z","Net 30","PO-611233","referenceinvoice-322423"
7011.837503,"billingaccount-389688","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-23T00:00:00Z","InvoiceDetailDescription 1166","{}","invoicedetail-641722","2024-10-06T00:00:00Z","invoice-300337","2024-10-04T00:00:00Z","Open","Google","USD",2413.560504,"invoicedetail-641722","2024-10-30T00:00:00Z","Net 60","PO-612311","referenceinvoice-682144"
7929.328681,"billingaccount-197573","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-16T00:00:00Z","InvoiceDetailDescription 4630","{}","invoicedetail-524045","2024-10-11T00:00:00Z","invoice-825391","2024-10-05T00:00:00Z","Open","Microsoft","USD",3062.060301,"invoicedetail-524045","2024-10-26T00:00:00Z","Due on receipt","PO-486945","referenceinvoice-596249"
7028.549422,"billingaccount-384076","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-18T00:00:00Z","InvoiceDetailDescription 5118","{}","invoicedetail-341736","2024-10-09T00:00:00Z","invoice-226516","2024-10-04T00:00:00Z","Voided","Google","USD",1925.842935,"invoicedetail-341736","2024-10-22T00:00:00Z","Net 30","PO-878967","referenceinvoice-661894"
7245.850011,"billingaccount-897135","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-25T00:00:00Z","InvoiceDetailDescription 5636","{}","invoicedetail-205409","2024-10-04T00:00:00Z","invoice-973074","2024-10-05T00:00:00Z","Open","Microsoft","USD",2962.464633,"invoicedetail-205409","2024-10-20T00:00:00Z","Net 60","PO-288158","referenceinvoice-416950"
9742.949311,"billingaccount-680238","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-14T00:00:00Z","InvoiceDetailDescription 3068","{}","invoicedetail-768854","2024-10-03T00:00:00Z","invoice-889359","2024-10-04T00:00:00Z","Issued","AWS","USD",1025.876468,"invoicedetail-768854","2024-10-12T00:00:00Z","Net 30","PO-701949","referenceinvoice-398151"
9654.976431,"billingaccount-364742","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-16T00:00:00Z","InvoiceDetailDescription 2869","{}","invoicedetail-962050","2024-10-08T00:00:00Z","invoice-168517","2024-10-04T00:00:00Z","Issued","Oracle","USD",4917.465603,"invoicedetail-962050","2024-10-16T00:00:00Z","Due on receipt","PO-760021","referenceinvoice-819796"
851.809084,"billingaccount-360247","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Usage","2024-08-27T00:00:00Z","InvoiceDetailDescription 7818","{}","invoicedetail-735770","2024-10-03T00:00:00Z","invoice-725084","2024-10-06T00:00:00Z","Voided","AWS","USD",2256.871371,"invoicedetail-735770","2024-10-22T00:00:00Z","Due on receipt","PO-498855","referenceinvoice-572398"
5686.294706,"billingaccount-163156","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-22T00:00:00Z","InvoiceDetailDescription 2625","{}","invoicedetail-899787","2024-10-10T00:00:00Z","invoice-317881","2024-10-05T00:00:00Z","Voided","Oracle","USD",2110.251953,"invoicedetail-899787","2024-10-21T00:00:00Z","Due on receipt","PO-185131","referenceinvoice-264686"
26.757226,"billingaccount-572387","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-26T00:00:00Z","InvoiceDetailDescription 8699","{}","invoicedetail-405407","2024-10-09T00:00:00Z","invoice-134225","2024-10-02T00:00:00Z","Open","Microsoft","USD",2881.048896,"invoicedetail-405407","2024-10-14T00:00:00Z","Net 60","PO-837135","referenceinvoice-576086"
8039.056803,"billingaccount-307428","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-24T00:00:00Z","InvoiceDetailDescription 2880","{}","invoicedetail-671015","2024-10-05T00:00:00Z","invoice-335729","2024-10-06T00:00:00Z","Voided","AWS","USD",1489.894011,"invoicedetail-671015","2024-11-03T00:00:00Z","Net 60","PO-966785","referenceinvoice-249145"
7489.577221,"billingaccount-696856","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-30T00:00:00Z","InvoiceDetailDescription 8195","{}","invoicedetail-230394","2024-10-03T00:00:00Z","invoice-591465","2024-10-04T00:00:00Z","Voided","AWS","USD",3040.911905,"invoicedetail-230394","2024-10-30T00:00:00Z","Net 60","PO-385470","referenceinvoice-624783"
8894.228893,"billingaccount-870214","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-17T00:00:00Z","InvoiceDetailDescription 5102","{}","invoicedetail-127121","2024-10-02T00:00:00Z","invoice-195763","2024-10-06T00:00:00Z","Open","Oracle","USD",9619.111022,"invoicedetail-127121","2024-10-14T00:00:00Z","Due on receipt","PO-715643","referenceinvoice-121753"
5189.63841,"billingaccount-563711","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Tax","2024-08-13T00:00:00Z","InvoiceDetailDescription 3973","{}","invoicedetail-713762","2024-10-01T00:00:00Z","invoice-557058","2024-10-03T00:00:00Z","Voided","Google","USD",8142.449445,"invoicedetail-713762","2024-10-25T00:00:00Z","Net 30","PO-592841","referenceinvoice-464863"
3298.036636,"billingaccount-827369","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-21T00:00:00Z","InvoiceDetailDescription 5722","{}","invoicedetail-794769","2024-10-06T00:00:00Z","invoice-519904","2024-10-02T00:00:00Z","Voided","Oracle","USD",366.971303,"invoicedetail-794769","2024-10-14T00:00:00Z","Net 30","PO-429795","referenceinvoice-364659"
6576.603865,"billingaccount-668950","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-28T00:00:00Z","InvoiceDetailDescription 7770","{}","invoicedetail-156837","2024-10-07T00:00:00Z","invoice-296694","2024-10-06T00:00:00Z","Voided","Google","USD",3617.793592,"invoicedetail-156837","2024-10-13T00:00:00Z","Net 60","PO-755788","referenceinvoice-563513"
9276.727608,"billingaccount-559398","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-25T00:00:00Z","InvoiceDetailDescription 2989","{}","invoicedetail-130271","2024-10-05T00:00:00Z","invoice-760626","2024-10-06T00:00:00Z","Voided","AWS","USD",7993.137333,"invoicedetail-130271","2024-10-17T00:00:00Z","Due on receipt","PO-266071","referenceinvoice-425845"
9922.571394,"billingaccount-218972","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-14T00:00:00Z","InvoiceDetailDescription 2924","{}","invoicedetail-779172","2024-10-07T00:00:00Z","invoice-972565","2024-10-02T00:00:00Z","Open","AWS","USD",4983.755047,"invoicedetail-779172","2024-10-16T00:00:00Z","Due on receipt","PO-406039","referenceinvoice-633590"
4567.864727,"billingaccount-251668","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Credit","2024-08-18T00:00:00Z","InvoiceDetailDescription 4122","{}","invoicedetail-728492","2024-10-08T00:00:00Z","invoice-632929","2024-10-05T00:00:00Z","Voided","Google","USD",8793.262551,"invoicedetail-728492","2024-10-19T00:00:00Z","Net 30","PO-389666","referenceinvoice-910208"
2828.389833,"billingaccount-413058","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z","Adjustment","2024-08-21T00:00:00Z","InvoiceDetailDescription 9022","{}","invoicedetail-255813","2024-10-09T00:00:00Z","invoice-568238","2024-10-04T00:00:00Z","Voided","Oracle","USD",4843.413856,"invoicedetail-255813","2024-10-11T00:00:00Z","Net 60","PO-678727","referenceinvoice-899929"
