"AllocatedMethodId","AllocatedResourceId","AllocatedResourceName","AllocatedTags","BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractApplied","ContractedCost","ContractedUnitPrice","EffectiveCost","HostProviderName","InvoiceId","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","ServiceProviderName","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags","AllocatedMethodDetails","AvailabilityZone","ChargeFrequency","ServiceSubcategory","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice","CommitmentProgramEligibilityDetails","InvoiceDetailId"
"AllocatedMethodId-7046","AllocatedResourceId-8753","AllocatedResourceName-9698","{}",1643.19646624,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Functions Function in Northern Virginia","2024-09-03T23:00:00Z","2024-09-03T22:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,424.7900000000,"Invocations",NULL,1676.731088,3.9472,1643.19646624,"Google","INV-202409-97026","Google",1746.6090430000002,4.1117,"Standard","USD",424.79,"Invocations","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/Helios Labs/zones/us-east4-a/instances/inst-9429",NULL,"Function","Compute","Cloud Functions","Google","UPFR2P3YVB5UL5NW","Cloud Functions Invocations",NULL,"QVRR9A7MFP059P45.2BFSOZPT","proj-helios-dev","helios-dev","BillingAccount","{""environment"": ""staging"", ""team"": ""infra"", ""owner"": ""a.turing""}",NULL,"asia-southeast1-c","Usage-Based","Serverless Compute",3.9472,1643.19646624,4.1117,NULL,NULL
"AllocatedMethodId-2940","AllocatedResourceId-7818","AllocatedResourceName-4697","{}",44.71121592,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"BigQuery Dataset in Singapore","2024-09-20T09:00:00Z","2024-09-20T08:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.3400000000,"GiB",NULL,55.199032,0.9148,44.71121592,"Google","INV-202409-42530","Google",58.107420000000005,0.9630,"Standard","USD",60.34,"GiB","Google","Google","asia-southeast1","Singapore","//compute.googleapis.com/projects/Helios Labs/zones/asia-southeast1-a/instances/inst-1231",NULL,"Dataset","Analytics","BigQuery","Google","7SGMSOXLTA8IRCD9","BigQuery GiB",NULL,"SI5GAS442VLDQ4HE.Z5EDJJTF","proj-helios-dev","helios-dev","BillingAccount",NULL,NULL,"europe-west1-b","Usage-Based","Data Warehouses",0.9148,44.71121592,0.9630,NULL,NULL
"AllocatedMethodId-2496","AllocatedResourceId-4750","AllocatedResourceName-1339","{}",126.3152982,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Functions Function in UK South (London)","2024-09-26T03:00:00Z","2024-09-26T02:00:00Z","Spend","cd-755900","commit-5900",NULL,"Used","Savings Plan",NULL,30.1200000000,"Invocations",NULL,138.80802,4.6085,126.3152982,"Oracle","INV-202409-13390","Oracle",144.59106000000003,4.8005,"Committed","USD",30.12,"Invocations","Oracle","Oracle","uk-london-1","UK South (London)","ocid1.instance.oc1.uk-london-1.001770896d9a",NULL,"Function","Compute","Oracle Functions","Oracle","024SCOSS3EOQM1H8","Oracle Functions Invocations",NULL,"OJRJEDKTS2H3TZR6.852FC1UQ","ocid1.compartment.oc1..dev","development","Tenancy",NULL,NULL,"us-ashburn-1-AD-1","Usage-Based","Serverless Compute",4.6085,126.3152982,4.8005,NULL,NULL
"AllocatedMethodId-8560","AllocatedResourceId-2924","AllocatedResourceName-3522","{}",159.357,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Functions Function in Iowa","2024-09-21T02:00:00Z","2024-09-21T01:00:00Z","Usage","cd-464863","commit-4863",NULL,"Unused","Savings Plan",NULL,NULL,NULL,NULL,199.19625,2.1950,159.357,"Google","INV-202409-24871","Google",265.598025,2.9267,"Standard","USD",90.75,"Invocations","Google","Google","us-central1","Iowa","//compute.googleapis.com/projects/Helios Labs/zones/us-central1-a/instances/inst-6046",NULL,"Function","Compute","Cloud Functions","Google","Z9C3FUQUHZ6A830D","Cloud Functions Invocations",NULL,"M7X52DNR9IS25HBP.KT9A90FO","proj-helios-prod","helios-prod","BillingAccount","{""business_unit"": ""LisbonOps""}",NULL,NULL,"Usage-Based","Serverless Compute",2.1950,159.357,2.9267,NULL,NULL
"AllocatedMethodId-3529","AllocatedResourceId-2225","AllocatedResourceName-8692","{}",127.6609824,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Oracle Autonomous Database Database in Australia East (Sydney)","2024-09-18T18:00:00Z","2024-09-18T17:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,228.4000000000,"Hours",NULL,151.97736,0.6654,127.6609824,"Oracle","INV-202409-95823","Oracle",165.20172000000002,0.7233,"Standard","USD",228.40,"Hours","Oracle","Oracle","ap-sydney-1","Australia East (Sydney)","ocid1.instance.oc1.ap-sydney-1.0099121ec11f",NULL,"Database","Databases","Oracle Autonomous Database","Oracle","RAST5J284WV98Y3U","Oracle Autonomous Database Hours",NULL,"MPYO0CU4YYJ5CI6V.G2G73AJ0","ocid1.compartment.oc1..dev","development","Tenancy",NULL,NULL,"uk-london-1-AD-2","Usage-Based","Relational Databases",0.6654,127.6609824,0.7233,NULL,NULL
"AllocatedMethodId-7951","AllocatedResourceId-5097","AllocatedResourceName-8484","{}",971.8392970000001,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Purchase",NULL,"Cloud SQL Database Instance in Northern Virginia","2024-09-15T01:00:00Z","2024-09-15T00:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,971.8392970000001,2.0371,0,"Google","INV-202409-93746","Google",1495.13738,3.1340,"Dynamic","USD",477.07,"Hours","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/Helios Labs/zones/us-east4-a/instances/inst-6106",NULL,"Database Instance","Databases","Cloud SQL","Google","1GG2KTBCUDSWX1JP","Cloud SQL Hours",NULL,"70LKLFYP5JO3Q3QA.3S8KE2WT","proj-helios-prod","helios-prod","BillingAccount","{""owner"": ""k.johnson""}",NULL,NULL,"One-Time","Relational Databases",2.0371,0,3.1340,NULL,NULL
"AllocatedMethodId-5295","AllocatedResourceId-7242","AllocatedResourceName-7086","{}",1242.82435761,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Storage Bucket in Northern Virginia","2024-09-05T14:00:00Z","2024-09-05T13:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,287.4100000000,"GiB",NULL,1255.378139,4.3679,1242.82435761,"Google","INV-202409-58311","Google",1426.559535,4.9635,"Standard","USD",287.41,"GiB","Google","Google","us-east4","Northern Virginia","//compute.googleapis.com/projects/Helios Labs/zones/us-east4-a/instances/inst-2443",NULL,"Bucket","Storage","Cloud Storage","Google","IGCT2CXIFSU0LMI8","Cloud Storage GiB",NULL,"X76RKQ4SVH3EJOZ9.XFZAQ8H3","proj-helios-dev","helios-dev","BillingAccount","{""owner"": ""k.johnson"", ""application"": ""BrightSourceCore"", ""team"": ""growth""}",NULL,"us-central1-a","Usage-Based","Object Storage",4.3679,1242.82435761,4.9635,NULL,NULL
"AllocatedMethodId-4394","AllocatedResourceId-4538","AllocatedResourceName-4817","{}",314.68680705,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"AWS Lambda Function in US West (Oregon)","2024-09-02T02:00:00Z","2024-09-02T01:00:00Z","Usage","cd-586819","commit-6819",NULL,"Unused","Committed Use Discount",NULL,NULL,NULL,NULL,370.219773,2.2573,314.68680705,"AWS","INV-202409-18992","AWS",500.29610399999996,3.0504,"Committed","USD",164.01,"Requests","AWS","AWS","us-west-2","US West (Oregon)","arn:aws:ec2:us-west-2:123456789012:instance/i-0034c6938da1",NULL,"Function","Compute","AWS Lambda","AWS","GP8IY3X80J0G50RC","AWS Lambda Requests",NULL,"XN22PXGX8WDZRMH3.FNBDVPIN","438839167390","Zenith Eclipse","BillingAccount",NULL,NULL,"us-east-1a","Usage-Based","Serverless Compute",2.2573,314.68680705,3.0504,NULL,NULL
"AllocatedMethodId-8046","AllocatedResourceId-8398","AllocatedResourceName-4743","{}",167.41762146,"01ABCD-2345EF-6789GH","Helios Labs","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Cloud Storage Bucket in Iowa","2024-09-07T05:00:00Z","2024-09-07T04:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,54.9700000000,"GiB",NULL,226.24002900000002,4.1157,167.41762146,"Google","INV-202409-38183","Google",238.146531,4.3323,"Standard","USD",54.97,"GiB","Google","Google","us-central1","Iowa","//compute.googleapis.com/projects/Helios Labs/zones/us-central1-a/instances/inst-9638",NULL,"Bucket","Storage","Cloud Storage","Google","HE42X6G26OC7T3BD","Cloud Storage GiB",NULL,"4Z1G52EFUJEIR9UY.7S361GH9","proj-helios-dev","helios-dev","BillingAccount","{""environment"": ""staging""}",NULL,"asia-southeast1-c","Usage-Based","Object Storage",4.1157,167.41762146,4.3323,NULL,NULL
"AllocatedMethodId-6567","AllocatedResourceId-6751","AllocatedResourceName-1100","{}",107.43156198,"ocid1.tenancy.oc1..aaaa1234","Meridian OCI","Tenancy","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Credit",NULL,"Oracle Autonomous Database Database in UK South (London)","2024-09-18T18:00:00Z","2024-09-18T17:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123.48455400000002,0.7902,107.43156198,"Oracle","INV-202409-50499","Oracle",199.16611500000002,1.2745,"Dynamic","USD",156.27,"Hours","Oracle","Oracle","uk-london-1","UK South (London)",NULL,NULL,NULL,"Databases","Oracle Autonomous Database","Oracle","FF1GXI9D99VH0W1D","Oracle Autonomous Database Hours",NULL,"STWG6NJ4OGW9XHRO.199BRBLR","ocid1.compartment.oc1..dev","development","Tenancy",NULL,NULL,NULL,"One-Time","Relational Databases",0.7902,107.43156198,1.2745,NULL,NULL
"AllocatedMethodId-4770","AllocatedResourceId-9196","AllocatedResourceName-6802","{}",80.70160332,"8a93b2c1-1234-4abc-9def-0123456789ab","Contoso Cloud","BillingProfile","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Credit",NULL,"Azure Blob Storage Storage Account in UK South","2024-09-07T02:00:00Z","2024-09-07T01:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,103.463594,2.2546,80.70160332,"Microsoft","INV-202409-79806","Microsoft",121.723225,2.6525,"Standard","USD",45.89,"GB","Microsoft","Microsoft","uksouth","UK South",NULL,NULL,NULL,"Storage","Azure Blob Storage","Microsoft","JKDFR21520RN6HW1","Azure Blob Storage GB",NULL,"HS57TCOZDANTNIQS.UHA51LIY","sub-9a1f","Production","BillingProfile","{""cost_center"": ""CC-1001"", ""owner"": ""a.lovelace""}",NULL,NULL,"One-Time","Object Storage",2.2546,80.70160332,2.6525,NULL,NULL
"AllocatedMethodId-8565","AllocatedResourceId-8404","AllocatedResourceName-1616","{}",457.56625992,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Simple Queue Service Queue in US East (N. Virginia)","2024-09-01T20:00:00Z","2024-09-01T19:00:00Z","Usage","cd-121869","commit-1869",NULL,"Unused","Reserved Instance",NULL,NULL,NULL,NULL,594.241896,2.0642,457.56625992,"AWS","INV-202409-50685","AWS",825.35196,2.8670,"Standard","USD",287.88,"Requests","AWS","AWS","us-east-1","US East (N. Virginia)","arn:aws:ec2:us-east-1:123456789012:instance/i-002bce9950d1",NULL,"Queue","Integration","Amazon Simple Queue Service","AWS","ZTVOVKE6H76MWWJP","Amazon Simple Queue Service Requests",NULL,"GJQMLJEL532UUJ2E.42TRDW6E","438839167390","Zenith Eclipse","BillingAccount","{""application"": ""BrightLensMatrix"", ""team"": ""payments""}",NULL,"ap-southeast-2a","Usage-Based","Messaging",2.0642,457.56625992,2.8670,NULL,NULL
"AllocatedMethodId-7937","AllocatedResourceId-9331","AllocatedResourceName-6928","{}",311.2892775,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Relational Database Service Database Instance in Europe (Ireland)","2024-09-28T13:00:00Z","2024-09-28T12:00:00Z","Usage","cd-143015","commit-3015",NULL,"Used","Committed Use Discount",NULL,192.2500000000,"Hours",NULL,345.87697499999996,1.7991,311.2892775,"AWS","INV-202409-22249","AWS",557.851825,2.9017,"Committed","USD",192.25,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00ce43f4871c",NULL,"Database Instance","Databases","Amazon Relational Database Service","AWS","F6LCP2277KXXSY0V","Amazon Relational Database Service Hours",NULL,"DVEVG9YSQJVFJWTZ.IFT9YVI7","517389287820","Atlas Nimbus","BillingAccount","{""cost_center"": ""CC-1001"", ""environment"": ""qa""}",NULL,"eu-west-1c","Usage-Based","Relational Databases",1.7991,311.2892775,2.9017,NULL,NULL
"AllocatedMethodId-3414","AllocatedResourceId-8167","AllocatedResourceName-2502","{}",324.89092728,"123456789012","SunBird","BillingAccount","USD","2024-10-01T00:00:00Z","2024-09-01T00:00:00Z",NULL,NULL,"Usage",NULL,"Amazon Relational Database Service Database Instance in Europe (Ireland)","2024-09-10T04:00:00Z","2024-09-10T03:00:00Z",NULL,NULL,NULL,NULL,NULL,NULL,NULL,96.0100000000,"Hours",NULL,451.23739900000004,4.6999,324.89092728,"AWS","INV-202409-77286","AWS",480.04039900000004,4.9999,"Dynamic","USD",96.01,"Hours","AWS","AWS","eu-west-1","Europe (Ireland)","arn:aws:ec2:eu-west-1:123456789012:instance/i-00406ff403e9",NULL,"Database Instance","Databases","Amazon Relational Database Service","AWS","LK2C0XP2S2O8PT4M","Amazon Relational Database Service Hours",NULL,"X23SY670KMIQD4X9.G7HSFKR2","517389287820","Atlas Nimbus","BillingAccount","{""owner"": ""k.johnson"", ""cost_center"": ""CC-3090"", ""application"": ""BrightSourceCore""}",NULL,NULL,"Usage-Based","Relational Databases",4.6999,324.89092728,4.9999,NULL,NULL
